,estimated_yield,matched_crop
"Iceland moss, Icelandic moss, musgo da Islandia, liquem da Islandia, cetraria",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Idaho fescue, blue bunch fescue, festuca do Idaho",2182.7,broad beans and horse beans dry
"India wheat, duck wheat, Tartarian buckwheat, Kangra buckwheat, Iceland buckwheat, fagopiro da Tartaria",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Indian bean tree,755.1,beans dry
"Indian beech, oil tree, poonga-oil-tree, seashore mempari, karum tree, arbre de pongolote, bÃ¡ni, kanji, karanj, papar, daay kim, saam hoa, biansu, ki pahang laut, melapari, dok kom koi, mempare, pongu, pongam, ko:m ko:y, day lim, day mau, khoor, karanga",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Indian chestnut, castanheiro da India",3815.5,chestnuts in shell
"Indian copal/eng, piney tree/eng, white dammar/eng, dhupa/eng, Malabar tallow tree/eng, goma copal/pot, goma da India/por",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Indian ginseng, poisonous gooseberry, winter cherry, ajagandha, asgand, kanaje, samm al ferakh, amukkirag, amangura, asvagandha, ashvagandha, asundha, aswagandha, bitterappelliefie, geneesbossie, vernietsiektebossie, ubuvimba, umaqhunsula",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Indian lac tree, kosum, kusuma, kesambi",2182.7,broad beans and horse beans dry
"Indian laurel fig, incendeira",1087.0,natural rubber in primary forms
"Indian long pepper, jaborandi pepper, pippali, thippali, piper, pepper long, Piperis Langi Fructus",18548.6,chillies and peppers green capsicum spp and pimenta spp
"Indian maple, bordo da India",2304.7,seed cotton unginned
"Indian mustard, mustard greens, brown mustard, Chinese mustard",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Indian plantago, blood plantago, isabgol, geneima, qurayta, spogel plantain, ispaghula, spogelwegerich",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Indian redwood, Indian mahogany, bastard cedar, rohan, rohun",670.3,cinnamon and cinnamontree flowers raw
"Indian rennet, igba, ingulla, inboye, hidi (Galinya), apple of Sodam, bitter apple, bitterappel",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Indian rosewood, sissoo, shisham, sisso",22566.7,onions and shallots green
"Indian rubber tree, Assam rubber tree, rambong, rubber tree, rubber plant, karet tree, figueira da borracha, borracheira da India, arvore da goma elastica, litonde",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Indigo plant,31617.7,eggplants aubergines
"Injet (Amargna), Maluza (Amargna), Yomonoxe (Amargna)",9920.2,mangoes guavas and mangosteens
Iron wood,13014.6,chicory roots
Ironwood wattle,860.6,sisal raw
"Italian cypress, Mediterranean cypress, mourning cypress, cyprÃ¨s, cypres d'Italie, zypresse, cipresso, cipreste, cedro bastardo, ciprÃ©s, cipres comun, cipres italiano",18548.6,chillies and peppers green capsicum spp and pimenta spp
"Italian smilax, Eurasian greenbrier, rough bindweed, salsaparrilha bastarda, salsaparrilha do reino, salsaparrilha indigena, alegra-campo",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Italian stone pine, Roman pine, umbrella pine, pignon pine, pignolia, bull pine, stone pine, nut pine, pin pignon, pin parasol, pino domestico, pino marittimo, pinheiro manso",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Jalluri,1719.2,lupins
"Japanese alder, aune du Japon, amieiro do Japao",2184.4,other stimulant spice and aromatic crops nec
"Japanese apricot, mume, alperceiro do Japao",9198.5,other citrus fruit nec
"Japanese burning-bush, evonimo do Japao",22566.7,onions and shallots green
"Japanese chestnut, chataignier du Japon, castanheiro do Japao",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
Japanese mint,6266.0,matã leaves
"Japanese plum, ameixeira do Japao",24724.7,pomelos and grapefruits
"Japanese temple cedar, Japanese cedar, sugi, cedre du Japon, cedro do Japao",3229.8,chillies and peppers dry capsicum spp pimenta spp raw
Java apple,21076.9,apples
"Java indigo, anileira de Java",600.1,abaca manila hemp raw
"Jerusalem artichoke, earth apple, sunchoke, topinambour, girasole, tupinambo, giganteia, girassol batateiro",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Job's tears,470.8,jojoba seeds
"Johnson grass, Aleppo grass, means-grass, racehorse grass, false Guinea grass, Morocco millet, Egyptian millet, Arabian millet, Cuba grass, evergreen millet, milho zaburro, capim do Alepo, capim de Cuba, capim macambara', peripomonga",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Kaamaa mu rabaa,600.1,abaca manila hemp raw
"Kei apple, Kaiyaba",21076.9,apples
"Kentucky bluegrass, smooth meadowgrass, common meadowgrass, June grass, paturin des pres, wiesen rispengras, erva da febra, capim do campo",18548.6,chillies and peppers green capsicum spp and pimenta spp
"Kenya white clover, Kenya clover, trefle africain, trefle du Kenya, trevo do Quenia",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Keptanya,2711.2,soya beans
"Kersting's groundnut, groundnut - Kersting's",1755.2,groundnuts excluding shelled
"Key lime, acid lime, Mexican lime, sour lime, West Indian lime, lime tree, common lime, lime acide, limettier, citron vert, limoo, doc, lima, limÃ³n ceutÃ­, lima Ã¡cida, tipolo, Limette, Limettenbaum, Limone, saure Limette, saure Limonette, Limonelle, kagzi mimboo, jeruk nipis, jeruk pecel, limau asam, limau nipis, mull, dayap, krooch chhmaa muul, naaw, somma nao, manao, cbanh, chanh ta, muli, sipora, arani (Cooks), moli, molie, moli laimi, laimi, nabbu kaghdi, te raim (Kiribati), moli tipolo, Omani lime (Oman), kaghzi nimba, baladi lemon (Egypt), gallego (Brazil)",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Kimi,15481.4,kiwi fruit
Kitr,3906.8,okra
Knob thorn,10207.0,string beans
Koa,2339.9,oats
Kohlrabi,3906.8,okra
"Kuteera-Gum, Kikar",1208.5,karite nuts sheanuts
"Lady's thistle, St. Mary's thistle, holy thistle, milk thistle, blessed milk-thistle, kenguel seed, variegated thistle, cardo Mariano, Cardui mariani fructus, Cardui mariani folium",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Lancewood,480.5,cocoa beans
Laot,6725.2,apricots
Large crab grass,23670.0,cranberries
"Lehmann's love grass, knietjiesgras",17031.8,lemons and limes
Lemon Verbena,6663.7,tea leaves
Lemon grass,851.1,pigeon peas dry
"Liberian coffee, kofe, coffee",908.0,coffee green
Limestone wattle,530.6,melonseed
Llanos macro,480.5,cocoa beans
Long-stamen rice,24105.8,strawberries
Longleaf cowpea,1914.5,cereals nec
"Machurian wild rice, cizania da Manchuria, water bamboo, coba, kuw-sun, kwo-bai, jiao-bai, makomo dake",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Mackie's pest, seed grass",9920.2,mangoes guavas and mangosteens
Madagascar almond,1513.3,almonds in shell
"Malabar spinach, red stem Malabar spinach, Ceylon spinach, Indian spinach, red vine spinach, vine spinach, Malabar nightshade, Malabarspinat",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Malabar spinach, white stem Malabar spinach, Ceylon spinach, Indian spinach, white vine spinach, vine spinach, Malabar nightshade, country spinach, bertalha vermelha, Malabarspinat, basela branca, bertalha branca, basela vermelha, melao de soldado, sabao de soldado",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Malay apple, Laulau, Kavika, Jambu, rose apple, Jambeiro-de-Malaca",2182.7,broad beans and horse beans dry
Maloga bean,2711.2,soya beans
Manyatta grass,6266.0,matã leaves
Marga,3906.8,okra
Mat grass,6266.0,matã leaves
Meadow oat-grass,894.8,other oil seeds nec
Mexican avocado,10963.3,avocados
Mexican tea,6663.7,tea leaves
"Mexican yellow pine, jelecote pine, patula pine, pinheiro de jelecote, pinheiro patula",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Mindanao gum, kamarere",9920.2,mangoes guavas and mangosteens
"Mindoro pine, pinheiro de Mindoro, Pinus merkusii (continental)",13499.1,tangerines mandarins clementines
Mineritchie,2023.0,vetches
"Mongolian wheatgrass, agropiro da Mongolia",6379.6,plantains and cooking bananas
"Monterey cypress, cypres de Lambert, cypres de Monterey, cedro de Monterey",6909.3,other berries and fruits of the genus vaccinium nec
"Monterey pine, radiata pine, pin de Monterey, pinheiro de Monterey",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
"Montezuma pine, rough-barked Mexican pine, pinheiro de Montezuma",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
"Moreton Bay Chestnut, Black bean",6582.4,broad beans and horse beans green
"Moreton Bay ash, carbeen, eucalipto de Moreton",6582.4,broad beans and horse beans green
"Moreton Bay fig, Australian banyan, figueira da Australia, figueira de Moreton",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Morocco gum,480.5,cocoa beans
"Mount Morgan Wattle, Queensland Silver Wattle",1485.3,kenaf and other textile bast fibres raw or retted
"Mountain Grey Gum, Mountain Gum, Monkey Gum, Spotted Mountain Grey Gum",13499.1,tangerines mandarins clementines
Mountain bamboo,23316.9,bananas
Mountain bristle grass,10207.0,string beans
Mountain wire grass,3155.1,mixed grain
Mtambethengo,2023.0,vetches
"Mukushi, Mukusi, Rhodesian teak, Umgusi, Zambesi redwood, Rhodesian chestnut",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Mulga, Yarran, Umbrella mulga, Turpentine Mulga",600.1,abaca manila hemp raw
Munkolo,676.9,quinoa
Munnik fescue,908.0,coffee green
Muraina grass,3155.1,mixed grain
Myall-gidgee,16968.2,green garlic
Nadi blue grass,755.1,beans dry
Nafungwe,20459.3,oranges
Narrow heart love grass,7194.5,other sugar crops nec
Natal buffalo grass,265.1,cloves whole stems raw
Native verbine,13499.1,tangerines mandarins clementines
Ndende,843.0,linseed
Nelia,742.9,fonio
"Nepalese alder, aune du Nepal, amieiro do Nepal",16846.9,leeks and other alliaceous vegetables
New Guinea creeper,1914.5,cereals nec
New Zealand kauri,31617.7,eggplants aubergines
"Nonda plums, Engam",4763.7,plums and sloes
"Norway spruce, white deal, Jura turpentine, Burgundy pitch, pitch tree, living Christmas tree, epicea commun, epinette de Norvege, Fichte, Rottanne, Gemeine Fichte, Edeltanne, abete rosso, espruce da Noruega, picea, abeto del Norte",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Nyasaland mahogany, Red mahogany",2182.7,broad beans and horse beans dry
Okrich,3906.8,okra
Onions (bulb),742.9,fonio
"Oriental planetree, Eastern sycamore, chinar tree, doolb, buna, platane d'Orient, platano do Oriente, platano de genio, coquilho",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Padang togu,5327.6,asparagus
Pak Choi,1171.7,chick peas dry
"Panama rubber tree, castilloa rubber",1087.0,natural rubber in primary forms
Paperbark thorn,10207.0,string beans
"Papuan wattle, auri, ear leaf acacia, tuhkehn pwelmwahu (Pohnpei), black wattle, ear pod wattle, wattle, earleaf acacia",1485.3,kenaf and other textile bast fibres raw or retted
Pasto rastiero,12353.5,sweet potatoes
Peanut clover,634.6,cow peas dry
Pecan,20032.4,pears
Perennial soybean,2711.2,soya beans
"Persian clover, reversed clover, Shaftal clover, bird-eye clover, trefle perse, trefle renverse', Persischer klee, trifoglio persiano, trifoglio resupinato, trevo da Persia, trebol de Persia",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Pindon wattle, Wongai, Spear wattle",3185.9,walnuts in shell
Pipe grass,10990.0,grapes
"Pistachio nut, green almond, pistache, pistachier, pistachio, pistacio, alfostico, alfostigueiro",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Ponderosa pine, Western pine, Western yellow pine, California white pine, foothills yellow pine, Sierra brownbark pine, heavy pine, pin jaune, heavy-wooded pine, pinheiro Ponderosa",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Pongame oil tree,2114.4,rape or colza seed
"Portuguese cedar, Portuguese cypress, Goa cedar, Mexican cypress, cedro do Bucaco, cedro de Goa, arvore da vida, cedro das barracas",1205.9,anise badian coriander cumin caraway fennel and juniper berries raw
Powderpuff tree,908.0,coffee green
Purple finger grass,11022.3,ginger raw
Purple moor-grass,21076.9,apples
Purple pigeon grass,851.1,pigeon peas dry
"Queensland macadamia, macadamia nut, mekatemia, Queensland nut",361.0,nutmeg mace cardamoms raw
"Queensland maple, maple silkwood",4763.7,plums and sloes
"Raspberry jam wattle, Raspberry Jam Wood",2170.7,ramie raw or retted
Red Flinders grass,265.1,cloves whole stems raw
Red Wattle,7447.6,dates
Red fescue,974.0,hempseed
Red sprangletop,1942.8,sunflower seed
"Red-hot poker tree, flame tree, lucky bean tree, Mwamba-ngoma",1485.3,kenaf and other textile bast fibres raw or retted
Rescue grass,10357.1,cassava fresh
"River cooba, Eumong, Native Willow",670.3,cinnamon and cinnamontree flowers raw
River wattle,2170.7,ramie raw or retted
Rock three-awns,16968.2,green garlic
Rolling grass,10207.0,string beans
"Royal poinciana, flamboyant tree, flamboyant acacia, gul mohur, fancy-Anna, flame tree, peacock flower, flamboyante, flamboyÃ¡n, acacia flamejante, flamboiante, acacia rubra, poinciana, flor de pavao, arbol del fuego, atbot (Guam), atbut, atbot det fuegu, nangiosÃ¡kura (Palau), nangyo, pilampwoia weitahta (Pohnpei), sakuranirow (Yap), sekoula (Fiji), ohai', Âohai, ngatipa (Cook Islands), avarua (Rarotonga, Cook Islands), fayarbaw (CNMIÂCarolinian), puke (Tahiti), ohai Âula, pine",13822.2,edible roots and tubers with high starch or inulin content nec fresh
Rungia,676.9,quinoa
Russian olive,1822.0,olives
Sagger's grass,10990.0,grapes
Salam,8421.6,yams
Salt wattle,2587.6,cashewapple
"Sapodilla, chiku",1171.7,chick peas dry
"Satinwood, East Indian satinwood, Ceylon Satinwood, pau-cetim",13499.1,tangerines mandarins clementines
Satsuma mandarin,22566.7,onions and shallots green
Schilf,36141.9,spinach
"Scotch pine, Scots pine, Scotch fir, Highland pine, Baltic pine, Danzing pine, red deal, yellow deal, pin, pin sylvestre, Kiefer, pino, pino silvestre, skov fyr, Waldkiefer, FÃ¶hre, pinheiro da Escocia, pinheiro da Russia, pinheiro de Genebra, Pini turione",13822.2,edible roots and tubers with high starch or inulin content nec fresh
"Scottish laburnum, laburnum, Alpgullregn, Alpegullregn, Alpe-guldregn, kaljukultasade, kultasade",1160.1,other nuts excluding wild edible nuts and groundnuts in shell nec
Sea grape,10990.0,grapes
Sebeldit,843.0,linseed
"Shittim wood, eeoi (Karamojong)",265.1,cloves whole stems raw
Siberian peashrub,10207.0,string beans
"Siberian wheatgrass, agropiro da Siberia",6582.4,broad beans and horse beans green
Sickle grass,860.6,sisal raw
Signal grass,860.6,sisal raw
Silky thatching grass,10207.0,string beans
Silver beet,62208.5,sugar beet
"Silver beet, Beetroot, Sugarbeet, ZuckerrÃ¼be",1485.3,kenaf and other textile bast fibres raw or retted
